,Month,Month Code,County,County Code,Deaths,latitude,longitude,Population,
929,"Jul., 2011",2011/07,"Miami-Dade County, FL",12086,15,25.6364246,-80.4989467,"2,580,000",
945,"Aug., 2011",2011/08,"Miami-Dade County, FL",12086,17,25.6364246,-80.4989467,"2,580,000",
963,"Sep., 2011",2011/09,"Miami-Dade County, FL",12086,16,25.6364246,-80.4989467,"2,580,000",
983,"Oct., 2011",2011/10,"Miami-Dade County, FL",12086,10,25.6364246,-80.4989467,"2,580,000",
996,"Nov., 2011",2011/11,"Miami-Dade County, FL",12086,20,25.6364246,-80.4989467,"2,580,000",
1008,"Dec., 2011",2011/12,"Miami-Dade County, FL",12086,16,25.6364246,-80.4989467,"2,580,000",
1022,"Jan., 2012",2012/01,"Miami-Dade County, FL",12086,15,25.6364246,-80.4989467,"2,611,000",
1036,"Feb., 2012",2012/02,"Miami-Dade County, FL",12086,20,25.6364246,-80.4989467,"2,611,000",
1050,"Mar., 2012",2012/03,"Miami-Dade County, FL",12086,24,25.6364246,-80.4989467,"2,611,000",
1078,"May, 2012",2012/05,"Miami-Dade County, FL",12086,15,25.6364246,-80.4989467,"2,611,000",
1098,"Jun., 2012",2012/06,"Miami-Dade County, FL",12086,16,25.6364246,-80.4989467,"2,611,000",
1114,"Jul., 2012",2012/07,"Miami-Dade County, FL",12086,21,25.6364246,-80.4989467,"2,611,000",
1134,"Aug., 2012",2012/08,"Miami-Dade County, FL",12086,14,25.6364246,-80.4989467,"2,611,000",
1155,"Sep., 2012",2012/09,"Miami-Dade County, FL",12086,12,25.6364246,-80.4989467,"2,611,000",
1171,"Oct., 2012",2012/10,"Miami-Dade County, FL",12086,19,25.6364246,-80.4989467,"2,611,000",
1187,"Nov., 2012",2012/11,"Miami-Dade County, FL",12086,17,25.6364246,-80.4989467,"2,611,000",
1204,"Dec., 2012",2012/12,"Miami-Dade County, FL",12086,14,25.6364246,-80.4989467,"2,611,000",
1217,"Jan., 2013",2013/01,"Miami-Dade County, FL",12086,14,25.6364246,-80.4989467,"2,642,000",
1232,"Feb., 2013",2013/02,"Miami-Dade County, FL",12086,18,25.6364246,-80.4989467,"2,642,000",
1247,"Mar., 2013",2013/03,"Miami-Dade County, FL",12086,11,25.6364246,-80.4989467,"2,642,000",
1262,"Apr., 2013",2013/04,"Miami-Dade County, FL",12086,23,25.6364246,-80.4989467,"2,642,000",
1276,"May, 2013",2013/05,"Miami-Dade County, FL",12086,12,25.6364246,-80.4989467,"2,642,000",
1290,"Jun., 2013",2013/06,"Miami-Dade County, FL",12086,14,25.6364246,-80.4989467,"2,642,000",
1308,"Jul., 2013",2013/07,"Miami-Dade County, FL",12086,21,25.6364246,-80.4989467,"2,642,000",
1328,"Aug., 2013",2013/08,"Miami-Dade County, FL",12086,17,25.6364246,-80.4989467,"2,642,000",
1345,"Sep., 2013",2013/09,"Miami-Dade County, FL",12086,10,25.6364246,-80.4989467,"2,642,000",
1360,"Oct., 2013",2013/10,"Miami-Dade County, FL",12086,15,25.6364246,-80.4989467,"2,642,000",
1378,"Nov., 2013",2013/11,"Miami-Dade County, FL",12086,21,25.6364246,-80.4989467,"2,642,000",
1396,"Dec., 2013",2013/12,"Miami-Dade County, FL",12086,21,25.6364246,-80.4989467,"2,642,000",
