Year,Month,County,County_Code,Deaths,latitude,longitude,Population
2011,Dec,"Harris County, TX",48201,10,29.8119769,-95.3741247,4181000
2011,Dec,"Tarrant County, TX",48439,11,32.7513658,-97.335696,1848000
2012,Jan,"Maricopa County, AZ",4013,25,33.34883,-112.49123,3945000
2012,Jan,"Los Angeles County, CA",6037,38,34.3155072,-118.2096814,9970000
2012,Jan,"Riverside County, CA",6065,12,33.7219991,-116.0372472,2268000
2012,Jan,"Broward County, FL",12011,10,26.1598074,-80.4623642,1818000
2012,Jan,"Miami-Dade County, FL",12086,15,25.6364246,-80.4989467,2611000
2012,Jan,"Cook County, IL",17031,38,41.8197385,-87.756525,5233000
2012,Jan,"Orleans Parish, LA",22071,20,30.0801436,-89.9319134,370138
2012,Jan,"Genesee County, MI",26049,10,43.0220032,-83.7274305,418110
2012,Jan,"Wayne County, MI",26163,33,42.2682408,-83.2844172,1793000
2012,Jan,"St. Louis County, MO",29189,10,38.63904535,-90.51882739,1001000
2012,Jan,"Cuyahoga County, OH",39035,10,41.4301347,-81.6905558,1266000
2012,Jan,"Oklahoma County, OK",40109,10,35.5533328,-97.4367741,3815000
2012,Jan,"Philadelphia County, PA",42101,29,40.0114538,-75.1326504,1550000
2012,Jan,"Shelby County, TN",47157,11,35.1782557,-89.8739775,939672
2012,Jan,"Bexar County, TX",48029,11,29.4263987,-98.5104781,1790000
2012,Jan,"Harris County, TX",48201,15,29.8119769,-95.3741247,4263000
2012,Feb,"Alameda County, CA",6001,10,37.6090291,-121.899142,1554720
2012,Feb,"Los Angeles County, CA",6037,27,34.3155072,-118.2096814,9970000
2012,Feb,"Miami-Dade County, FL",12086,20,25.6364246,-80.4989467,2611000
2012,Feb,"Cook County, IL",17031,33,41.8197385,-87.756525,5233000
2012,Feb,"Baltimore city, MD",24510,10,39.2559916,-76.634341,622705
2012,Feb,"Wayne County, MI",26163,11,42.2682408,-83.2844172,1793000
2012,Feb,"Essex County, NJ",34013,10,40.7913922,-74.2479444,787006
2012,Feb,"Philadelphia County, PA",42101,18,40.0114538,-75.1326504,1550000
2012,Feb,"Bexar County, TX",48029,13,29.4263987,-98.5104781,1790000
2012,Feb,"Harris County, TX",48201,21,29.8119769,-95.3741247,4263000
2012,Feb,"Milwaukee County, WI",55079,10,43.01641545,-87.97373035,955063
2012,Mar,"Maricopa County, AZ",4013,16,33.34883,-112.49123,3945000
2012,Mar,"Los Angeles County, CA",6037,33,34.3155072,-118.2096814,9970000
2012,Mar,"San Bernardino County, CA",6071,10,34.8253019,-116.0833144,2080000
2012,Mar,"San Joaquin County, CA",6077,12,37.9372901,-121.2773719,701464
2012,Mar,"Duval County, FL",12031,12,30.3540073,-81.6632109,880959
2012,Mar,"Miami-Dade County, FL",12086,24,25.6364246,-80.4989467,2611000
2012,Mar,"Fulton County, GA",13121,10,34.0580391,-84.2961283,977816
2012,Mar,"Cook County, IL",17031,47,41.8197385,-87.756525,5233000
2012,Mar,"Orleans Parish, LA",22071,12,30.0801436,-89.9319134,370138
2012,Mar,"Baltimore city, MD",24510,18,39.2559916,-76.634341,622705
2012,Mar,"Wayne County, MI",26163,24,42.2682408,-83.2844172,1793000
2012,Mar,"Philadelphia County, PA",42101,24,40.0114538,-75.1326504,1550000
2012,Mar,"Bexar County, TX",48029,10,29.4263987,-98.5104781,1790000
2012,Mar,"Dallas County, TX",48113,10,32.7620405,-96.7790069,2456000
2012,Mar,"Harris County, TX",48201,27,29.8119769,-95.3741247,4263000
2012,Apr,"Maricopa County, AZ",4013,17,33.34883,-112.49123,3945000
2012,Apr,"Alameda County, CA",6001,13,37.6090291,-121.899142,1554720
2012,Apr,"Los Angeles County, CA",6037,38,34.3155072,-118.2096814,9970000
2012,Apr,"Cook County, IL",17031,40,41.8197385,-87.756525,5233000
2012,Apr,"Orleans Parish, LA",22071,14,30.0801436,-89.9319134,370138
2012,Apr,"Baltimore city, MD",24510,15,39.2559916,-76.634341,622705
2012,Apr,"Wayne County, MI",26163,28,42.2682408,-83.2844172,1793000
2012,Apr,"Clark County, NV",32003,10,36.13440979,-115.0472645,1998000
2012,Apr,"Kings County, NY",36047,11,40.64530975,-73.95502303,2574000
2012,Apr,"Franklin County, OH",39049,12,40.0283162,-83.0076657,1198000
2012,Apr,"Philadelphia County, PA",42101,20,40.0114538,-75.1326504,1550000
2012,Apr,"Shelby County, TN",47157,10,35.1782557,-89.8739775,939672
2012,Apr,"Bexar County, TX",48029,11,29.4263987,-98.5104781,1790000
2012,Apr,"Dallas County, TX",48113,12,32.7620405,-96.7790069,2456000
2012,Apr,"Harris County, TX",48201,13,29.8119769,-95.3741247,4263000
2012,May,"Maricopa County, AZ",4013,19,33.34883,-112.49123,3945000
2012,May,"Los Angeles County, CA",6037,30,34.3155072,-118.2096814,9970000
2012,May,"San Bernardino County, CA",6071,17,34.8253019,-116.0833144,2080000
2012,May,"Miami-Dade County, FL",12086,15,25.6364246,-80.4989467,2611000
2012,May,"DeKalb County, GA",13089,11,33.7575613,-84.2186508,708640
2012,May,"Cook County, IL",17031,50,41.8197385,-87.756525,5233000
2012,May,"Lake County, IN",18089,10,41.4193829,-87.3692227,701494
2012,May,"East Baton Rouge Parish, LA",22033,10,30.5254797,-91.0899217,444135
2012,May,"Orleans Parish, LA",22071,15,30.0801436,-89.9319134,370138
2012,May,"Baltimore city, MD",24510,19,39.2559916,-76.634341,622705
2012,May,"Wayne County, MI",26163,29,42.2682408,-83.2844172,1793000
2012,May,"St. Louis city, MO",29510,10,38.6267938,-90.19770345,319083
2012,May,"Franklin County, OH",39049,12,40.0283162,-83.0076657,1198000
2012,May,"Allegheny County, PA",42003,13,40.4597204,-79.9760405,1231000
2012,May,"Philadelphia County, PA",42101,33,40.0114538,-75.1326504,1550000
2012,May,"Dallas County, TX",48113,18,32.7620405,-96.7790069,2456000
2012,May,"Harris County, TX",48201,20,29.8119769,-95.3741247,4263000
2012,Jun,"Jefferson County, AL",1073,11,33.5228184,-86.9164513,657704
2012,Jun,"Maricopa County, AZ",4013,16,33.34883,-112.49123,3945000
2012,Jun,"Fresno County, CA",6019,13,36.6713502,-119.8155355,947713
2012,Jun,"Los Angeles County, CA",6037,42,34.3155072,-118.2096814,9970000
2012,Jun,"Sacramento County, CA",6067,10,38.4732259,-121.2980707,1448000
2012,Jun,"Duval County, FL",12031,10,30.3540073,-81.6632109,880959
2012,Jun,"Miami-Dade County, FL",12086,16,25.6364246,-80.4989467,2611000
2012,Jun,"Cook County, IL",17031,49,41.8197385,-87.756525,5233000
2012,Jun,"Marion County, IN",18097,12,39.7810289,-86.1365457,918748
2012,Jun,"East Baton Rouge Parish, LA",22033,12,30.5254797,-91.0899217,444135
2012,Jun,"Orleans Parish, LA",22071,14,30.0801436,-89.9319134,370138
2012,Jun,"Baltimore city, MD",24510,11,39.2559916,-76.634341,622705
2012,Jun,"Wayne County, MI",26163,26,42.2682408,-83.2844172,1793000
2012,Jun,"St. Louis city, MO",29510,10,38.6267938,-90.19770345,319083
2012,Jun,"Kings County, NY",36047,11,40.64530975,-73.95502303,2574000
2012,Jun,"Philadelphia County, PA",42101,23,40.0114538,-75.1326504,1550000
2012,Jun,"Shelby County, TN",47157,13,35.1782557,-89.8739775,939672
2012,Jun,"Dallas County, TX",48113,14,32.7620405,-96.7790069,2456000
2012,Jun,"Harris County, TX",48201,28,29.8119769,-95.3741247,4263000
2012,Jul,"Maricopa County, AZ",4013,18,33.34883,-112.49123,3945000
2012,Jul,"Los Angeles County, CA",6037,42,34.3155072,-118.2096814,9970000
2012,Jul,"San Joaquin County, CA",6077,10,37.9372901,-121.2773719,701464
2012,Jul,"Miami-Dade County, FL",12086,21,25.6364246,-80.4989467,2611000
2012,Jul,"Cook County, IL",17031,54,41.8197385,-87.756525,5233000
2012,Jul,"Jefferson County, KY",21111,10,38.1787175,-85.664528,751111
2012,Jul,"Orleans Parish, LA",22071,17,30.0801436,-89.9319134,370138
2012,Jul,"Baltimore city, MD",24510,16,39.2559916,-76.634341,622705
2012,Jul,"Wayne County, MI",26163,42,42.2682408,-83.2844172,1793000
2012,Jul,"St. Louis city, MO",29510,11,38.6267938,-90.19770345,319083
2012,Jul,"Camden County, NJ",34007,11,39.8014709,-74.968553,512993
2012,Jul,"Essex County, NJ",34013,13,40.7913922,-74.2479444,787707
2012,Jul,"Bronx County, NY",36005,13,40.85703325,-73.83669616,1415000
2012,Jul,"Kings County, NY",36047,17,40.64530975,-73.95502303,2574000
2012,Jul,"Franklin County, OH",39049,13,40.0283162,-83.0076657,1198000
2012,Jul,"Allegheny County, PA",42003,11,40.4597204,-79.9760405,1231000
2012,Jul,"Philadelphia County, PA",42101,26,40.0114538,-75.1326504,1550000
2012,Jul,"Shelby County, TN",47157,18,35.1782557,-89.8739775,939672
2012,Jul,"Bexar County, TX",48029,10,29.4263987,-98.5104781,1790000
2012,Jul,"Harris County, TX",48201,27,29.8119769,-95.3741247,4263000
2012,Aug,"Alameda County, CA",6001,14,37.6090291,-121.899142,1554720
2012,Aug,"Los Angeles County, CA",6037,40,34.3155072,-118.2096814,9970000
2012,Aug,"San Bernardino County, CA",6071,13,34.8253019,-116.0833144,2080000
2012,Aug,"Miami-Dade County, FL",12086,14,25.6364246,-80.4989467,2611000
2012,Aug,"Cook County, IL",17031,50,41.8197385,-87.756525,5233000
2012,Aug,"Marion County, IN",18097,10,39.7810289,-86.1365457,918748
2012,Aug,"East Baton Rouge Parish, LA",22033,13,30.5254797,-91.0899217,444135
2012,Aug,"Baltimore city, MD",24510,16,39.2559916,-76.634341,622705
2012,Aug,"Wayne County, MI",26163,44,42.2682408,-83.2844172,1793000
2012,Aug,"Jackson County, MO",29095,11,40.6531945,-106.3447246,677558
2012,Aug,"St. Louis County, MO",29189,10,38.63904535,-90.51882739,1001000
2012,Aug,"Cuyahoga County, OH",39035,10,41.4301347,-81.6905558,1266000
2012,Aug,"Allegheny County, PA",42003,14,40.4597204,-79.9760405,1231000
2012,Aug,"Philadelphia County, PA",42101,28,40.0114538,-75.1326504,1550000
2012,Aug,"Shelby County, TN",47157,11,35.1782557,-89.8739775,939672
2012,Aug,"Dallas County, TX",48113,12,32.7620405,-96.7790069,2456000
2012,Aug,"Harris County, TX",48201,21,29.8119769,-95.3741247,4263000
2012,Aug,"Milwaukee County, WI",55079,18,43.01641545,-87.97373035,955063
2012,Sep,"Jefferson County, AL",1073,10,33.5228184,-86.9164513,657704
2012,Sep,"Maricopa County, AZ",4013,11,33.34883,-112.49123,3945000
2012,Sep,"Alameda County, CA",6001,12,37.6090291,-121.899142,1554720
2012,Sep,"Fresno County, CA",6019,10,36.6713502,-119.8155355,947713
2012,Sep,"Los Angeles County, CA",6037,32,34.3155072,-118.2096814,9970000
2012,Sep,"Duval County, FL",12031,10,30.3540073,-81.6632109,880959
2012,Sep,"Miami-Dade County, FL",12086,12,25.6364246,-80.4989467,2611000
2012,Sep,"Cook County, IL",17031,44,41.8197385,-87.756525,5233000
2012,Sep,"Marion County, IN",18097,12,39.7810289,-86.1365457,918748
2012,Sep,"Orleans Parish, LA",22071,17,30.0801436,-89.9319134,370138
2012,Sep,"Baltimore city, MD",24510,19,39.2559916,-76.634341,622705
2012,Sep,"Wayne County, MI",26163,41,42.2682408,-83.2844172,1793000
2012,Sep,"Jackson County, MO",29095,11,40.6531945,-106.3447246,677558
2012,Sep,"Bronx County, NY",36005,13,40.85703325,-73.83669616,1415000
